n_estimators,max_depth,min_samples_leaf,train_mse,train_r2,val_mse,val_r2
75,,20,942.4910232409044,0.3135999494262617,793.7769671532716,-0.17611036700184246
75,10.0,20,950.9672006201837,0.3074268947887724,794.3126038229544,-0.17690400030972198
75,10.0,50,1159.7374670082834,0.15538308973021064,794.9176284329383,-0.17780044319675237
75,15.0,50,1159.7374670082834,0.15538308973021064,794.9176284329383,-0.17780044319675237
75,,50,1159.7374670082834,0.15538308973021064,794.9176284329383,-0.17780044319675237
100,10.0,50,1154.0356472910173,0.15953562725660086,795.2035261570483,-0.17822404742204734
100,15.0,50,1154.0356472910173,0.15953562725660086,795.2035261570483,-0.17822404742204734
100,,50,1154.0356472910173,0.15953562725660086,795.2035261570483,-0.17822404742204734
100,,5,511.36840690794975,0.6275791580948449,795.2690441481918,-0.17832112303874803
50,10.0,20,950.3878618737982,0.30784881726337676,795.778791448739,-0.1790763970130922
75,5.0,50,1170.377163563126,0.1476343811767642,796.0076610274812,-0.1794155047163748
100,5.0,50,1163.9873294341162,0.15228798780129016,796.2940242735738,-0.17983979868860445
75,,5,516.6621610353509,0.623723807740124,797.468417841935,-0.1815798547847689
50,5.0,50,1174.0578613171358,0.14495379211840753,797.6008609562444,-0.18177609091434044
50,15.0,50,1163.3339062744267,0.15276386468371894,797.9039822571006,-0.18222521468480535
50,10.0,50,1163.3339062744267,0.15276386468371894,797.9039822571006,-0.18222521468480535
50,,50,1163.3339062744267,0.15276386468371894,797.9039822571006,-0.18222521468480535
50,3.0,50,1221.3092155035927,0.11054144112143527,798.4615922357723,-0.18305140504279915
25,10.0,20,956.6913078074413,0.3032581256801685,799.4131381726138,-0.18446127593513695
50,15.0,5,553.7997531772954,0.596677136211347,800.6538100314668,-0.1862995341558027
25,,20,950.5779771816061,0.30771035954476067,801.1718733327681,-0.18706712964501016
25,15.0,20,950.5779771816061,0.30771035954476067,801.1718733327681,-0.18706712964501016
25,10.0,5,723.5226918207348,0.4730708303732457,802.3011511899285,-0.18874033943817814
50,,5,519.8778628565882,0.6213818672459457,807.7515978969993,-0.19681606743513225
25,15.0,5,569.2052739363174,0.5854575596134226,811.2080131375818,-0.20193731177117158
25,,5,536.4892261221036,0.6092840962280948,819.9731390353146,-0.2149242789710013
